"School Name","School URL","School Teams","Errors"
"Irma Rangel Young Women (TX)","https://hspf17.debatecoaches.org//Irma%20Rangel%20Young%20Women/","[]","No debaters listed"
"Isidore Newman (LA)","https://hspf17.debatecoaches.org//Isidore%20Newman/","[]","No debaters listed"
"Jack C Hays (TX)","https://hspf17.debatecoaches.org//Jack%20C%20Hays/","[]","No debaters listed"
"Jackson Hole (WY)","https://hspf17.debatecoaches.org//Jackson%20Hole/","[]","No debaters listed"
"James Bowie (TX)","https://hspf17.debatecoaches.org//James%20Bowie/","[]","No debaters listed"
"James Logan (CA)","https://hspf17.debatecoaches.org//James%20Logan/","[]","No debaters listed"
"Jefferson City (MO)","https://hspf17.debatecoaches.org//Jefferson%20City/","[]","No debaters listed"
"Jenks (OK)","https://hspf17.debatecoaches.org//Jenks/","[]","No debaters listed"
"Jesuit Dallas (TX)","https://hspf17.debatecoaches.org//Jesuit%20Dallas/","[]","No debaters listed"
"Joel E Ferris (WA)","https://hspf17.debatecoaches.org//Joel%20E%20Ferris/","[]","No debaters listed"
"John B Connally (TX)","https://hspf17.debatecoaches.org//John%20B%20Connally/","[]","No debaters listed"
"Johns Creek (GA)","https://hspf17.debatecoaches.org//Johns%20Creek/","[]","No debaters listed"
"Johnston (IA)","https://hspf17.debatecoaches.org//Johnston/","[]","No debaters listed"
"Jones College Prep (IL)","https://hspf17.debatecoaches.org//Jones%20College%20Prep/","[]","No debaters listed"
"Joplin (MO)","https://hspf17.debatecoaches.org//Joplin/","[]","No debaters listed"
"JSEC LaSalle (RI)","https://hspf17.debatecoaches.org//JSEC%20LaSalle/","[]","No debaters listed"
"Juan Diego (UT)","https://hspf17.debatecoaches.org//Juan%20Diego/","['Juan Diego Jordan VanderVeen - Cade Novara', 'Juan Diego Andrew Schuman - Tim Carroll']",""
"Junction City (KS)","https://hspf17.debatecoaches.org//Junction%20City/","[]","No debaters listed"
"June Jordan (CA)","https://hspf17.debatecoaches.org//June%20Jordan/","[]","No debaters listed"
"Kamiak (WA)","https://hspf17.debatecoaches.org//Kamiak/","[]","No debaters listed"
"Kapaun Mount Carmel (KS)","https://hspf17.debatecoaches.org//Kapaun%20Mount%20Carmel/","[]","No debaters listed"
"Katy (TX)","https://hspf17.debatecoaches.org//Katy/","[]","No debaters listed"
"Katy Taylor (TX)","https://hspf17.debatecoaches.org//Katy%20Taylor/","[]","No debaters listed"
"Kealing MS (TX)","https://hspf17.debatecoaches.org//Kealing%20MS/","[]","No debaters listed"
"Kearns (UT)","https://hspf17.debatecoaches.org//Kearns/","[]","No debaters listed"
"Kempner (TX)","https://hspf17.debatecoaches.org//Kempner/","['Kempner Raj Solanki - Bryan Benitez']",""
"Kent Denver (CO)","https://hspf17.debatecoaches.org//Kent%20Denver/","[]","No debaters listed"
"Kermit (TX)","https://hspf17.debatecoaches.org//Kermit/","[]","No debaters listed"
"Kingfisher (OK)","https://hspf17.debatecoaches.org//Kingfisher/","[]","No debaters listed"
"Kingston (WA)","https://hspf17.debatecoaches.org//Kingston/","['Kingston Hayden Victory - Thadeus Smith', 'Kingston Emma Jones - Seth Hillsberry', 'Kingston Bella Galbiati - Denny James']",""
"Kinkaid (TX)","https://hspf17.debatecoaches.org//Kinkaid/","[]","No debaters listed"
"Kipp King Collegiate (CA)","https://hspf17.debatecoaches.org//Kipp%20King%20Collegiate/","[]","No debaters listed"
"Klein (TX)","https://hspf17.debatecoaches.org//Klein/","[]","No debaters listed"
"Kudos College (CA)","https://hspf17.debatecoaches.org//Kudos%20College/","[]","No debaters listed"
"La Costa Canyon (CA)","https://hspf17.debatecoaches.org//La%20Costa%20Canyon/","[]","No debaters listed"
"La Crosse Central (WI)","https://hspf17.debatecoaches.org//La%20Crosse%20Central/","[]","No debaters listed"
"La Cueva (NM)","https://hspf17.debatecoaches.org//La%20Cueva/","[]","No debaters listed"
"La Reina (CA)","https://hspf17.debatecoaches.org//La%20Reina/","[]","No debaters listed"
"La Salle (CA)","https://hspf17.debatecoaches.org//La%20Salle%20CA/","['La Salle CA John Nahas - Jack Crawford']",""
"La Salle College (PA)","https://hspf17.debatecoaches.org//La%20Salle/","[]","No debaters listed"
"Lafayette High School (LA)","https://hspf17.debatecoaches.org//Lafayette/","[]","No debaters listed"
"Laguna Hills (CA)","https://hspf17.debatecoaches.org//Laguna%20Hills/","[]","No debaters listed"
"Lake City (ID)","https://hspf17.debatecoaches.org//Lake%20City/","[]","No debaters listed"
"Lake Highland (FL)","https://hspf17.debatecoaches.org//Lake%20Highland/","['Lake Highland Jacob Anish - Muhammad Khattak']",""
"Lake Oswego (OR)","https://hspf17.debatecoaches.org//Lake%20Oswego/","[]","No debaters listed"
"Lakeland (NY)","https://hspf17.debatecoaches.org//Lakeland/","[]","No debaters listed"
"Lamar (TX)","https://hspf17.debatecoaches.org//Lamar/","['Lamar Pooja Vettical - Alexander NelsonGroocock']",""
"Lane Tech (IL)","https://hspf17.debatecoaches.org//Lane%20Tech/","[]","No debaters listed"
"Lansing (KS)","https://hspf17.debatecoaches.org//Lansing/","[]","No debaters listed"
"Law Magnet (TX)","https://hspf17.debatecoaches.org//Law%20Magnet/","[]","No debaters listed"
"Lawrence (KS)","https://hspf17.debatecoaches.org//Lawrence/","[]","No debaters listed"
"Lawrence Free State (KS)","https://hspf17.debatecoaches.org//Lawrence%20Free%20State/","[]","No debaters listed"
"Layton (UT)","https://hspf17.debatecoaches.org//Layton/","[]","No debaters listed"
"Lee's Summit West (MO)","https://hspf17.debatecoaches.org//Lees%20Summit%20West/","[]","No debaters listed"
"Lee's Summit (MO)","https://hspf17.debatecoaches.org//Lees%20Summit/","[]","No debaters listed"
"Leland (CA)","https://hspf17.debatecoaches.org//Leland/","[]","No debaters listed"
"Leon Goldstein (NY)","https://hspf17.debatecoaches.org//Leon%20Goldstein/","[]","No debaters listed"
"Leucadia Independent (CA)","https://hspf17.debatecoaches.org//La%20Costa%20Canyon/","[]","No debaters listed"
"Lexington (MA)","https://hspf17.debatecoaches.org//Lexington/","[]","No debaters listed"
"Liberal Arts & Science Academy (TX)","https://hspf17.debatecoaches.org//Liberal%20Arts%20And%20Science/","[]","No debaters listed"
"Lincoln (OR)","https://hspf17.debatecoaches.org//Lincoln%20OR/","[]","No debaters listed"
"Lincoln College (KS)","https://hspf17.debatecoaches.org//Lincoln%20KS/","[]","No debaters listed"
"Lincoln College (MO)","https://hspf17.debatecoaches.org//Lincoln%20MO/","[]","No debaters listed"
"Lincoln East (NE)","https://hspf17.debatecoaches.org//Lincoln%20East/","[]","No debaters listed"
"Lincoln HS (NE)","https://hspf17.debatecoaches.org//Lincoln%20NE/","[]","No debaters listed"
"Lincoln Park (IL)","https://hspf17.debatecoaches.org//Lincoln%20Park/","[]","No debaters listed"
"Lincoln Sudbury (MA)","https://hspf17.debatecoaches.org//Lincoln%20Sudbury/","['Lincoln Sudbury Lincoln Sudbury - Team Cases']",""
"Lindale (TX)","https://hspf17.debatecoaches.org//Lindale/","[]","No debaters listed"
"Lindblom Math&Science (IL)","https://hspf17.debatecoaches.org//Lindblom/","[]","No debaters listed"
"Lionel Wilson (CA) ","https://hspf17.debatecoaches.org//Lionel%20Wilson/","[]","No debaters listed"
"Little Cypress Mauriceville (TX)","https://hspf17.debatecoaches.org//Little%20Cypress%20Mauriceville/","[]","No debaters listed"
"Little Rock Central (AR)","https://hspf17.debatecoaches.org//Little%20Rock%20Central/","[]","No debaters listed"
"Little Rock Hall (AR)","https://hspf17.debatecoaches.org//Little%20Rock%20Hall/","[]","No debaters listed"
"Littleton Independent (CO)","https://hspf17.debatecoaches.org//Littleton%20Independent/","[]","No debaters listed"
"Logan (UT)","https://hspf17.debatecoaches.org//Logan/","[]","No debaters listed"
"Lone Peak (UT)","https://hspf17.debatecoaches.org//Lone%20Peak/","[]","No debaters listed"
"Los Altos (CA)","https://hspf17.debatecoaches.org//Los%20Altos/","['Los Altos Franklin Ruan - Jiayan Luo']",""
"Lowell (CA)","https://hspf17.debatecoaches.org//Lowell/","[]","No debaters listed"
"Loyola (CA)","https://hspf17.debatecoaches.org//Loyola/","['Loyola Nathaniel Tran - Alessandro Behney']",""
"Loyola Blakefield (MD)","https://hspf17.debatecoaches.org//Loyola%20Blakefield/","[]","No debaters listed"
"Lynbrook (CA)","https://hspf17.debatecoaches.org//Lynbrook/","[]","No debaters listed"
"Madison East (WI)","https://hspf17.debatecoaches.org//Madison%20East/","[]","No debaters listed"
"Maine East (IL)","https://hspf17.debatecoaches.org//Maine%20East/","[]","No debaters listed"
"Maize (KS)","https://hspf17.debatecoaches.org//Maize/","[]","No debaters listed"
"Maize South (KS)","https://hspf17.debatecoaches.org//Maize%20South/","[]","No debaters listed"
"Mamaroneck (NY)","https://hspf17.debatecoaches.org//Mamaroneck/","[]","No debaters listed"
"Mannford (OK)","https://hspf17.debatecoaches.org//Mannford/","[]","No debaters listed"
"Mapleton (CO)","https://hspf17.debatecoaches.org//Mapleton/","[]","No debaters listed"
"Marist (GA)","https://hspf17.debatecoaches.org//Marist/","['Marist Henry Bieze - Will Sjostrom', 'Marist Danait Tekie - Sydney Vance', 'Marist William Payne - Danait Tekie', 'Marist Campbell Huber - Garrett McCarthy']",""
"Marquette (WI)","https://hspf17.debatecoaches.org//Marquette/","[]","No debaters listed"
"Marriotts Ridge (MD)","https://hspf17.debatecoaches.org//Marriotts%20Ridge/","[]","No debaters listed"
"Marshfield (MO)","https://hspf17.debatecoaches.org//Marshfield/","[]","No debaters listed"
"McKinney (TX)","https://hspf17.debatecoaches.org//McKinney/","[]","No debaters listed"
"McKinney Boyd (TX)","https://hspf17.debatecoaches.org//McKinney%20Boyd/","[]","No debaters listed"
"MLK Jr Early College (CO)","https://hspf17.debatecoaches.org//MLK%20Early%20College/","[]","No debaters listed"
"McClintock (AZ)","https://hspf17.debatecoaches.org//McClintock/","[]","No debaters listed"
"McDonogh (MD)","https://hspf17.debatecoaches.org//McDonogh/","[]","No debaters listed"
"McDowell (PA)","https://hspf17.debatecoaches.org//McDowell/","[]","No debaters listed"
"Meadows (NV)","https://hspf17.debatecoaches.org//Meadows/","[]","No debaters listed"
"MICDS (MO)","https://hspf17.debatecoaches.org//MICDS/","[]","No debaters listed"
"Midway (TX)","https://hspf17.debatecoaches.org//Midway/","[]","No debaters listed"
"Mill Valley (KS)","https://hspf17.debatecoaches.org//Mill%20Valley/","[]","No debaters listed"
"Millard North (NE)","https://hspf17.debatecoaches.org//Millard%20North/","['Millard North Oliver Niu - Zach Shelton']",""
"Millard South (NE)","https://hspf17.debatecoaches.org//Millard%20South/","[]","No debaters listed"
"Millard West (NE)","https://hspf17.debatecoaches.org//Millard%20West/","[]","No debaters listed"
"Millburn (NJ)","https://hspf17.debatecoaches.org//Millburn/","['Millburn Jai Bansal - David Mason', 'Millburn Jia Arnold - Arnold Jia', 'Millburn James Chen - Brian Zhu', 'Millburn Alan Gu - Carrie Mason', 'Millburn Somil Agarwal - Brian Zhu']",""
"Milpitas (CA)","https://hspf17.debatecoaches.org//Milpitas/","[]","No debaters listed"
"Milton (GA)","https://hspf17.debatecoaches.org//Milton/","[]","No debaters listed"
"Minneapolis South (MN)","https://hspf17.debatecoaches.org//Minneapolis%20South/","[]","No debaters listed"
"Miramonte (CA)","https://hspf17.debatecoaches.org//Miramonte/","[]","No debaters listed"
"Mission San Jose (CA)","https://hspf17.debatecoaches.org//Mission%20San%20Jose/","['Mission San Jose Arunav Gupta - Lucas Huang']",""
"Mission Vista (CA)","https://hspf17.debatecoaches.org//Mission%20Vista/","[]","No debaters listed"
"Monsignor Kelly (TX)","https://hspf17.debatecoaches.org//Monsignor%20Kelly/","[]","No debaters listed"
"Monta Vista (CA)","https://hspf17.debatecoaches.org//Monta%20Vista/","['Monta Vista Rushil Saha - Brandon Guo']",""
"Montgomery (TX)","https://hspf17.debatecoaches.org//Montgomery/","[]","No debaters listed"
"Montgomery Bell (TN)","https://hspf17.debatecoaches.org//Montgomery%20Bell%20Academy/","[]","No debaters listed"
"Montville Township (NJ)","https://hspf17.debatecoaches.org//Montville%20Township/","['Montville Township Samuel Brumer - Daniel Lee', 'Montville Township Alexander Purn - Alan Lai', 'Montville Township Alex Park - Francis Ilankumaran', 'Montville Township Anoop Bhat - Rishabh Ganesh', 'Montville Township Lorrin Stone - Verina Megala']",""
"Moore (OK)","https://hspf17.debatecoaches.org//Moore/","[]","No debaters listed"
"Morrison Christian (TW)","https://hspf17.debatecoaches.org//Morrison%20Christian/","[]","No debaters listed"
"Mount Pleasant (TX)","https://hspf17.debatecoaches.org//Mount%20Pleasant/","[]","No debaters listed"
"Mount Vernon Presbyterian (GA)","https://hspf17.debatecoaches.org//Mount%20Vernon%20Presbyterian/","[]","No debaters listed"
"Mountain Brook (AL)","https://hspf17.debatecoaches.org//Mountain%20Brook/","[]","No debaters listed"
"Mt Hebron (MD)","https://hspf17.debatecoaches.org//Mt%20Hebron/","[]","No debaters listed"
"Mukwonago (WI)","https://hspf17.debatecoaches.org//Mukwonago/","[]","No debaters listed"
"Muldrow (OK)","https://hspf17.debatecoaches.org//Muldrow/","[]","No debaters listed"
"Munster (IN)","https://hspf17.debatecoaches.org//Munster/","['Munster Connor Meyer - Shreyas Iyer']",""
"National Cathedral (DC)","https://hspf17.debatecoaches.org//National%20Cathedral/","[]","No debaters listed"
"Nederland (TX)","https://hspf17.debatecoaches.org//Nederland/","[]","No debaters listed"
"Neenah (WI)","https://hspf17.debatecoaches.org//Neenah/","[]","No debaters listed"
"Nevada Union (CA)","https://hspf17.debatecoaches.org//Nevada%20Union/","[]","No debaters listed"
"New Mission Boston Community Leadership (MA)","https://hspf17.debatecoaches.org//New%20Mission/","[]","No debaters listed"
"New Trier (IL)","https://hspf17.debatecoaches.org//New%20Trier/","[]","No debaters listed"
"Newark Science (NJ)","https://hspf17.debatecoaches.org//Newark%20Science/","[]","No debaters listed"
"Newburgh Free Academy (NY)","https://hspf17.debatecoaches.org//Newburgh%20Free%20Academy/","[]","No debaters listed"
"Newton (KS)","https://hspf17.debatecoaches.org//Newton/","[]","No debaters listed"
"Newton South (MA)","https://hspf17.debatecoaches.org//Newton%20South/","[]","No debaters listed"
"Niles North (IL)","https://hspf17.debatecoaches.org//Niles%20North/","[]","No debaters listed"
"Niles West (IL)","https://hspf17.debatecoaches.org//Niles%20West/","[]","No debaters listed"
"Norfolk (NE)","https://hspf17.debatecoaches.org//Norfolk/","[]","No debaters listed"
"Norman North (OK)","https://hspf17.debatecoaches.org//Norman%20North/","[]","No debaters listed"
"North Broward (FL)","https://hspf17.debatecoaches.org//North%20Broward/","[]","No debaters listed"
"North Crowley (TX)","https://hspf17.debatecoaches.org//North%20Crowley/","[]","No debaters listed"
"North Houston (TX)","https://hspf17.debatecoaches.org//North%20Houston/","[]","No debaters listed"
"North Lamar (TX)","https://hspf17.debatecoaches.org//North%20Lamar/","[]","No debaters listed"
"North Star Academy (CO)","https://hspf17.debatecoaches.org//North%20Star%20Academy/","[]","No debaters listed"
"Northside (IL)","https://hspf17.debatecoaches.org//Northside/","[]","No debaters listed"
"Northview (GA)","https://hspf17.debatecoaches.org//Northview/","[]","No debaters listed"
"Northwood (CA)","https://hspf17.debatecoaches.org//Northwood/","['Northwood Viren Abhyankar - Daniel Luo']",""
"Notre Dame (CA)","https://hspf17.debatecoaches.org//Notre%20Dame/","[]","No debaters listed"
"Nueva (CA)","https://hspf17.debatecoaches.org//Nueva/","['Nueva Ben Shahar - Ben Cheng']",""
"Oak Grove (CA)","https://hspf17.debatecoaches.org//Oak%20Grove/","[]","No debaters listed"
"Oak Hall (FL)","https://hspf17.debatecoaches.org//Oak%20Hall/","[]","No debaters listed"
"Oak Hill (OR)","https://hspf17.debatecoaches.org//Oak%20Hill/","[]","No debaters listed"
"Oak Park River Forest (IL)","https://hspf17.debatecoaches.org//Oak%20Park%20River%20Forest/","[]","No debaters listed"
"Oakland High (CA)","https://hspf17.debatecoaches.org//Oakland%20High/","[]","No debaters listed"
"Oakland Tech (CA)","https://hspf17.debatecoaches.org//Oakland%20Tech/","[]","No debaters listed"
"Oakton (VA)","https://hspf17.debatecoaches.org//Oakton/","['Oakton Albert Ding - Chas Huang']",""
"Oakwood (CA)","https://hspf17.debatecoaches.org//Oakwood/","[]","No debaters listed"
"Oakwood (OH)","https://hspf17.debatecoaches.org//Oakwood%20OH/","['Oakwood OH Madelynn Einhorn - Sara Pierce']",""
"Ogden International (IL)","https://hspf17.debatecoaches.org//Ogden%20International/","[]","No debaters listed"
"Okemos (MI)","https://hspf17.debatecoaches.org//Okemos/","[]","No debaters listed"
"Olathe North (KS)","https://hspf17.debatecoaches.org//Olathe%20North/","[]","No debaters listed"
"Olathe Northwest (KS)","https://hspf17.debatecoaches.org//Olathe%20Northwest/","[]","No debaters listed"
"Olathe West (KS)","https://hspf17.debatecoaches.org//Olathe%20West/","[]","No debaters listed"
"Omaha Westside (NE)","https://hspf17.debatecoaches.org//Omaha%20Westside/","[]","No debaters listed"
"Oregon Episcopal (OR)","https://hspf17.debatecoaches.org//Oregon%20Episcopal/","[]","No debaters listed"
"Otay Ranch (CA)","https://hspf17.debatecoaches.org//Otay%20Ranch/","[]","No debaters listed"
"Oxbridge Academy (FL)","https://hspf17.debatecoaches.org//Oxbridge%20Academy/","[]","No debaters listed"
"Oxford (MS)","https://hspf17.debatecoaches.org//Oxford/","['Oxford Bennett Brown - Luke Kelly']",""
"Pace Academy (GA)","https://hspf17.debatecoaches.org//Pace%20Academy/","[]","No debaters listed"
"Paideia (GA)","https://hspf17.debatecoaches.org//Paideia/","[]","No debaters listed"
"Palo Verde (NV)","https://hspf17.debatecoaches.org//Palo%20Verde/","[]","No debaters listed"
"Palos Verdes (CA)","https://hspf17.debatecoaches.org//Palos%20Verdes/","[]","No debaters listed"
"Park City (UT)","https://hspf17.debatecoaches.org//Park%20City/","['Park City Boyana Martinova - Gavin Serr']",""
"Park Hill (MO)","https://hspf17.debatecoaches.org//Park%20Hill/","['Park Hill Greta Jones - Alex Kalisz']",""
"Park Hill South (MO)","https://hspf17.debatecoaches.org//Park%20Hill%20South/","[]","No debaters listed"
"Parkview (AR)","https://hspf17.debatecoaches.org//Parkview/","[]","No debaters listed"
"Parkway Central (MO)","https://hspf17.debatecoaches.org//Parkway%20Central/","[]","No debaters listed"
"Parkway West (MO)","https://hspf17.debatecoaches.org//Parkway%20West/","[]","No debaters listed"
"Peak to Peak (CO)","https://hspf17.debatecoaches.org//Peak%20to%20Peak/","[]","No debaters listed"
"Pembroke Hill (MO)","https://hspf17.debatecoaches.org//Pembroke%20Hill/","[]","No debaters listed"
"Peninsula (CA)","https://hspf17.debatecoaches.org//Peninsula/","[]","No debaters listed"
"Perry (AZ)","https://hspf17.debatecoaches.org//Perry%20AZ/","[]","No debaters listed"
"Perry (OH)","https://hspf17.debatecoaches.org//Perry/","[]","No debaters listed"
"Phoenix Military (IL)","https://hspf17.debatecoaches.org//Phoenix%20Military/","[]","No debaters listed"
"Pine Crest (FL)","https://hspf17.debatecoaches.org//Pine%20Crest/","[]","No debaters listed"
"Pittsburgh Central (PA)","https://hspf17.debatecoaches.org//Pittsburgh%20Central%20Catholic/","[]","No debaters listed"
"Plano East (TX)","https://hspf17.debatecoaches.org//Plano%20East/","[]","No debaters listed"
"Plano Senior (TX)","https://hspf17.debatecoaches.org//Plano%20Senior/","[]","No debaters listed"
"Plano West (TX)","https://hspf17.debatecoaches.org//Plano%20West/","['Plano West Artit Taychameekiatchai - Jason Zhang', 'Plano West Jerry Yang - Ranie Lin', 'Plano West Carlyn Yang - Christina Lu', 'Plano West Jennifer Lin - Jacqueline Wei']",""
"Presentation (CA)","https://hspf17.debatecoaches.org//Presentation/","['Presentation Megan Munce - Laurenn Vives', 'Presentation Ria Nawathe - Tanaya Nawathe', 'Presentation Shloka Janapaty - Amanda Page', 'Presentation Hannah Ni - Ciara RuizEarle', 'Presentation Diane Suba - Michelle Nguyen', 'Presentation Shreya Deshpande - Indrea Goyal', 'Presentation Esha Kapoor - Nidhi Gowda']",""
"Prosper (TX)","https://hspf17.debatecoaches.org//Prosper/","[]","No debaters listed"
"Poly Prep (NY)","https://hspf17.debatecoaches.org//Poly%20Prep/","['Poly Prep Nick Stratigakis - Daniel Fernandez', 'Poly Prep Harrison Schlossberg - Dominic Schlossberg']",""
"Polytechnic (CA)","https://hspf17.debatecoaches.org//Polytechnic/","[]","No debaters listed"
"Portage Northern (MI)","https://hspf17.debatecoaches.org//Portage%20Northern/","[]","No debaters listed"
"Portland Independent (OR)","https://hspf17.debatecoaches.org//Portland%20Independent/","[]","No debaters listed"
"Potomac (VA)","https://hspf17.debatecoaches.org//Potomac/","[]","No debaters listed"
"Princess Anne (VA)","https://hspf17.debatecoaches.org//Princess%20Anne/","[]","No debaters listed"
"Princeton (NJ)","https://hspf17.debatecoaches.org//Princeton/","[]","No debaters listed"
"Puget Sound Community (WA)","https://hspf17.debatecoaches.org//Puget%20Sound/","[]","No debaters listed"
"Puyallup (WA)","https://hspf17.debatecoaches.org//Puyallup/","[]","No debaters listed"
"Quarry Lane (CA)","https://hspf17.debatecoaches.org//Quarry%20Lane/","['Quarry Lane Allen Abbott - Ahana Sen', 'Quarry Lane Keya Vijapure - Anik Sen']",""
"Rancho Bernardo (CA)","https://hspf17.debatecoaches.org//Rancho%20Bernardo/","[]","No debaters listed"
"Ransom Everglades (FL)","https://hspf17.debatecoaches.org//Ransom%20Everglades/","[]","No debaters listed"
"Reagan (TX)","https://hspf17.debatecoaches.org//Reagan/","[]","No debaters listed"
"Redmond (WA)","https://hspf17.debatecoaches.org//Redmond/","[]","No debaters listed"
"Reservoir (MD)","https://hspf17.debatecoaches.org//Reservoir/","[]","No debaters listed"
"Richardson (TX)","https://hspf17.debatecoaches.org//Richardson/","[]","No debaters listed"
"Ridge Point (TX)","https://hspf17.debatecoaches.org//Ridge%20Point/","[]","No debaters listed"
"River Hill (MD)","https://hspf17.debatecoaches.org//River%20Hill/","[]","No debaters listed"
"Riverside STEM (CA)","https://hspf17.debatecoaches.org//Riverside%20STEM/","[]","No debaters listed"
"Riverwood (GA)","https://hspf17.debatecoaches.org//Riverwood/","[]","No debaters listed"
"Robert McQueen (NV)","https://hspf17.debatecoaches.org//Robert%20McQueen/","[]","No debaters listed"
"Rocky Mountain (CO)","https://hspf17.debatecoaches.org//Rocky%20Mountain/","[]","No debaters listed"
"Rogers Heritage (AR)","https://hspf17.debatecoaches.org//Rogers%20Heritage/","[]","No debaters listed"
"Ronald Reagan (WI)","https://hspf17.debatecoaches.org//Ronald%20Reagan/","[]","No debaters listed"
"Rosemont (CA)","https://hspf17.debatecoaches.org//Rosemont/","[]","No debaters listed"
"Rosemount (MN)","https://hspf17.debatecoaches.org//Rosemount/","[]","No debaters listed"
"Roseville (MN)","https://hspf17.debatecoaches.org//Roseville/","[]","No debaters listed"
"Roswell (GA)","https://hspf17.debatecoaches.org//Roswell/","[]","No debaters listed"
"Round Rock (TX)","https://hspf17.debatecoaches.org//Round%20Rock/","[]","No debaters listed"
"Rowland Hall (UT)","https://hspf17.debatecoaches.org//Rowland%20Hall/","['Rowland Hall Soren Feola - Isaac Ball', 'Rowland Hall Charlotte Orford - Aislinn Mitcham', 'Rowland Hall Robin Zeng - Celia Davis']",""
"Rowlett (TX)","https://hspf17.debatecoaches.org//Rowlett/","[]","No debaters listed"
"Roy (UT)","https://hspf17.debatecoaches.org//Roy/","[]","No debaters listed"
"Rufus King (WI)","https://hspf17.debatecoaches.org//Rufus%20King/","[]","No debaters listed"
"Ruston (LA)","https://hspf17.debatecoaches.org//Ruston/","[]","No debaters listed"
"Sage Ridge (NV)","https://hspf17.debatecoaches.org//Sage%20Ridge/","[]","No debaters listed"
"Saginaw (TX)","https://hspf17.debatecoaches.org//Saginaw/","[]","No debaters listed"
"Saint Mary's Hall (TX)","https://hspf17.debatecoaches.org//Saint%20Marys%20Hall/","['Saint Marys Hall Trey Plante - Nicholas Trujillo', 'Saint Marys Hall Trey Plante - Sam Hernandez']",""
"Salpointe Catholic (AZ)","https://hspf17.debatecoaches.org//Salpointe%20Catholic/","[]","No debaters listed"
"Sam Barlow (OR)","https://hspf17.debatecoaches.org//Sam%20Barlow/","[]","No debaters listed"
"San Dieguito Academy (CA)","https://hspf17.debatecoaches.org//San%20Dieguito/","[]","No debaters listed"
"San Marcos (TX)","https://hspf17.debatecoaches.org//San%20Marcos/","[]","No debaters listed"
"San Marino (CA)","https://hspf17.debatecoaches.org//San%20Marino/","['San Marino Justin Jang - Aaron Fong']",""
"Santa Margarita (CA)","https://hspf17.debatecoaches.org//Santa%20Margarita/","[]","No debaters listed"
"Saratoga (CA)","https://hspf17.debatecoaches.org//Saratoga/","['Saratoga Arun Ramakrishna - Ayush Aggarwal']",""
"Seaholm (MI)","https://hspf17.debatecoaches.org//Seaholm/","[]","No debaters listed"
"Shawnee Heights (KS)","https://hspf17.debatecoaches.org//Shawnee%20Heights/","[]","No debaters listed"
"Shawnee Mission East (KS)","https://hspf17.debatecoaches.org//Shawnee%20Mission%20East/","[]","No debaters listed"
"Shawnee Mission Northwest (KS)","https://hspf17.debatecoaches.org//Shawnee%20Mission%20Northwest/","[]","No debaters listed"
"Shawnee Mission South (KS)","https://hspf17.debatecoaches.org//Shawnee%20Mission%20South/","[]","No debaters listed"
"Shawnee Mission West (KS)","https://hspf17.debatecoaches.org//Shawnee%20Mission%20West/","[]","No debaters listed"
"Sheboygan North (WI)","https://hspf17.debatecoaches.org//Sheboygan%20North/","[]","No debaters listed"
"Sidwell Friends (DC)","https://hspf17.debatecoaches.org//Sidwell%20Friends/","[]","No debaters listed"
"Sioux Falls Lincoln (SD)","https://hspf17.debatecoaches.org//Sioux%20Falls%20Lincoln/","[]","No debaters listed"
"Sioux Falls Roosevelt (SD)","https://hspf17.debatecoaches.org//Sioux%20Falls%20Roosevelt/","[]","No debaters listed"
"Sioux Falls Washington (SD)","https://hspf17.debatecoaches.org//Sioux%20Falls%20Washington/","[]","No debaters listed"
"Skiatook (OK)","https://hspf17.debatecoaches.org//Skiatook/","[]","No debaters listed"
"Skyline (CA)","https://hspf17.debatecoaches.org//Skyline/","[]","No debaters listed"
"Skyview (UT)","https://hspf17.debatecoaches.org//Skyview/","[]","No debaters listed"
"Small Schools Debate Coalition (CA)","https://hspf17.debatecoaches.org//Small%20Schools%20Debate%20Coalition/","[]","No debaters listed"
"Solorio (IL)","https://hspf17.debatecoaches.org//Solorio/","[]","No debaters listed"
"Sonoma Academy (CA)","https://hspf17.debatecoaches.org//Sonoma%20Academy/","[]","No debaters listed"
"Soulsville (TN)","https://hspf17.debatecoaches.org//Soulsville/","[]","No debaters listed"
"South East (CA)","https://hspf17.debatecoaches.org//South%20East/","[]","No debaters listed"
"South Eugene (OR)","https://hspf17.debatecoaches.org//South%20Eugene/","[]","No debaters listed"
"Southlake Carroll (TX)","https://hspf17.debatecoaches.org//Southlake%20Carroll/","[]","No debaters listed"
"SPASH (WI)","https://hspf17.debatecoaches.org//SPASH/","[]","No debaters listed"
"St Andrews Episcopal (MS)","https://hspf17.debatecoaches.org//St%20Andrews%20Episcopal/","[]","No debaters listed"
"St Croix (MN)","https://hspf17.debatecoaches.org//St%20Croix/","[]","No debaters listed"
"St Francis (CA)","https://hspf17.debatecoaches.org//St%20Francis/","[]","No debaters listed"
"St Georges (WA)","https://hspf17.debatecoaches.org//St%20Georges/","[]","No debaters listed"
"St Ignatius (OH)","https://hspf17.debatecoaches.org//St%20Ignatius/","[]","No debaters listed"
"St Ignatius (IL)","https://hspf17.debatecoaches.org//St%20Ignatius%20IL/","[]","No debaters listed"
"St James (AL)","https://hspf17.debatecoaches.org//St%20James/","[]","No debaters listed"
